event,timestamp_ns
pattern_start,1757936290972163300
fixation_start,1757936291296476600
fixation_end,1757936293299106700
fixation_start,1757936293623490500
fixation_end,1757936295625177500
fixation_start,1757936295955122800
fixation_end,1757936297956146400
fixation_start,1757936298279958800
fixation_end,1757936300281164300
fixation_start,1757936300630477000
fixation_end,1757936302632008500
fixation_start,1757936302976153600
fixation_end,1757936304977450100
fixation_start,1757936305296066400
fixation_end,1757936307297101800
fixation_start,1757936307624233200
fixation_end,1757936309625393600
fixation_start,1757936309943293900
fixation_end,1757936311944559600
fixation_start,1757936312264995600
fixation_end,1757936314266466500
pattern_end,1757936316267255600
